name,lat,lon,beds,operator,operator_type,osm_id,geom_type
,33.754292,35.544643,,,,8345497073,Point
حيدر و حجار,33.881996,35.504219,,,,559988394,Point
مستشفى العناية,33.099211,35.375441,,,,330338737,Polygon
Al Janoub Hospital,33.550968,35.368929,,,,1035419371,Polygon
Croix-Rouge Libanaise,33.851472,35.896341,,,,617004379,Polygon
مستشفى فقيه,33.434461,35.274197,,,,836365776,Polygon
Centre Hospitalier du Nord,34.368849,35.898107,,,,1041905069,Polygon
مستشفی بلدیه برج البراجنه,33.841732,35.513126,,,,5235355321,Point
مستشفى مظلوم,34.431834,35.83277,,,,3938046522,Point
,33.375963,35.61636,,,,474027856,Polygon
مستشفى المنلا,34.44087,35.829893,,,,4986254041,Point
Health Medical Center,33.553364,35.369923,,,,1035420576,Polygon
Rahma Medical Center,34.413735,35.845734,,,,837101482,Polygon
Al Hariri Health Center,33.801617,35.697662,,,,9690248574,Point
Hospital Machghara,33.522264,35.643438,,,,1180017582,Polygon
مستشفى الأرز الزلقا,33.899042,35.573256,,,,467941851,Polygon
مستوصف وادي خالد - المحطة,34.630493,36.378511,,,,4422870691,Point
جبل عامل,33.278056,35.218125,,,,5818614453,Point
مستشفى السان شارل,33.844919,35.550622,,,,2932842648,Point
مركز خلدة لتحليل الطبية,33.77621,35.472116,,,,6442822186,Point
المركز الطبي للجامعة اللبنانية الأميركية - مستشفى سان جون,33.982275,35.631183,,,,1016333465,Polygon
Bchamoun Hospital,33.782867,35.523148,,,,4661434309,Point
المستشفى اللبناني الإيطالي,33.253656,35.224604,,,,4531962595,Point
مستشفى سان جورج,33.960219,35.68749,,,,837158168,Polygon
Safad Hospital,34.443722,35.870013,,,,9367907207,Point
,33.534733,35.362657,,,,8252121874,Point
مستشفى حمود,33.560857,35.375747,,,,975076458,Polygon
Kherbet Kanafar Governmental Hospital,33.639281,35.726615,,,public,779565645,Polygon
مستشفى معربس,33.872974,35.519007,,,,3561187768,Point
أوتيل ديو,33.882088,35.518974,,,,835250420,Polygon
Beirut General Hospital,33.872609,35.491963,,,,547482392,Polygon
مركز بلفو الطبي,33.848391,35.559505,,,,994902555,Polygon
Dar El Rahmeh,33.878427,35.600165,,,,1043717503,Polygon
Hôpital Haroun,33.900664,35.57178,,,,9591749608,Point
مستوصف سربتا,33.459825,35.290685,,,,9294354428,Point
Dr Abdullah Al Rassi Governmental Hospital,34.536097,36.088615,,,,836106045,Polygon
عين وزين,33.680855,35.610768,,,,842359835,Polygon
المستشفى الفرنسي سيدة لورد,33.869944,35.517786,,,,387287439,Point
Hasbaya Governmental Hospital,33.403483,35.689062,,,,1015151934,Polygon
مستشفى مرجعيون,33.363688,35.586962,,,,762359189,Polygon
El Youssef Hospital Center,34.543191,36.07472,,,,836104720,Polygon
Sir Denniye Governmental Hospital,34.382435,36.008459,,,public,1049394290,Polygon
Bouar Governmental Hospital,34.045231,35.648571,,,,837390755,Polygon
الشاب,33.558941,35.371467,,,,583416785,Polygon
مستشفى السلام - القبيات,34.567568,36.26162,,,,838325732,Polygon
Tamnine General Hospital,33.872146,35.998022,,,,886725982,Polygon
Batoul Hospital,34.389942,36.394054,,,,842714915,Polygon
Medical 2000 Hospital,33.803164,35.517294,,,,7881768074,Point
مستشفى بخعازي,33.898703,35.484337,,,,6205014685,Point
مستشفى المشرق,33.871357,35.540347,,,,287010523,Polygon
مستشفى قلب يسوع,33.84913,35.53923,,,,583705258,Polygon
المقاصد,33.875182,35.5041,,,,1052515181,Polygon
مستشفى الصليب للأمراض العقلية والنفسية,33.901145,35.584712,,,,844266947,Polygon
مستشفى الزهراء,33.863744,35.486937,,,,642515061,Polygon
بيضون,33.893654,35.488982,,,,387478377,Point
مستشفى الحريري الحكومي,33.863239,35.491178,,,,993570500,Polygon
Family Medical Center,34.424184,35.879656,,,,1052112243,Polygon
Mostawsef El Day3a,33.315138,35.521242,,,,8009028966,Point
Abou Jaoudeh Hospital,33.907416,35.581659,,,private,1050031779,Polygon
Centre Médical Clémenceau,33.898064,35.490938,,,,585187493,Polygon
مستشفى البقاع,33.808427,35.867739,,,,1052150692,Polygon
مستوصف الحريري,34.190588,36.407791,,,,1889842734,Point
Kartaba Governmental Hospital,34.096198,35.851067,,,,1049099368,Polygon
Ehden Governmental Hospital,34.289852,35.968222,,,,1013605093,Polygon
Al-Maias Hospital,33.814205,35.853595,,,,8245813259,Point
مستشفى سرحال,33.914989,35.608505,,,,4461868278,Point
Saydet Zgharta Hospital,34.399652,35.88569,,,,2186083539,Point
مستشفى الراعي,33.531653,35.362409,,,,4966703572,Point
Tripoli Governmental Hospital,34.437506,35.859977,,,public,838327593,Polygon
مستشفى الجعيتاوي,33.893896,35.530689,,,,284812334,Polygon
Al Hamshari Hospital,33.547671,35.386261,,,,9367879223,Point
مركز كليمنصو الطبي,33.897506,35.489966,106,,,566103031,Polygon
مركز صحة العائلة,33.898858,35.486685,,,,211453309,Polygon
Dar Al Zahraa Hospital,34.415195,35.839943,,,,842717025,Polygon
الرسول الأعظم,33.843154,35.498772,,,,236020132,Polygon
N.D. Martine,34.116231,35.652257,,,,3199589439,Point
مستشفى جبل لبنان,33.859925,35.528113,,,,409468812,Polygon
Saint Michel Hospital,34.144124,35.645641,,,,1037370069,Polygon
Al Jabal Hospital,33.847025,35.723642,,,,1052987139,Polygon
مستشفى سانت تريز الحدث,33.844301,35.527136,,,,519087818,Polygon
مساشفى بعبدا الحكومي,33.835516,35.538833,,,public,835247321,Polygon
مستشفى النجدة الشعبية,33.392946,35.490444,,,,2706923700,Point
,33.662925,35.419934,,,,1044591407,Polygon
Medrar Medical Center,33.352342,35.452544,,,,837160787,Polygon
Mays El Jabal Governmental Hospital,33.186934,35.521165,,,public,1042395104,Polygon
Hermel Governmental Hospital,34.381839,36.424349,,,,842710796,Polygon
الصليب الأحمر اللبناني,34.305233,35.813454,,,,311125957,Point
دار العجزة الاسلامية,33.868079,35.49893,,,,5087545,Polygon
Rayak Hospital,33.863964,36.01079,,,,1047497756,Polygon
Al Sharq Al Awsat Hospital,34.038475,36.192006,,,,1116373785,Polygon
البربير - سابقاً,33.877958,35.505483,,,,348352536,Point
مستشفى يونيفيل,33.12408,35.137247,,قوة الأمم المتحدة المؤقتة في لبنان,,261397620,Polygon
Hospital Ma'alaqa,33.83951,35.912684,,,,302980703,Polygon
مستشفى شاهين,34.437936,35.840632,,,,4923267521,Point
Al Irfan Hospital,33.675271,35.592275,,,,9135956837,Point
مستشفى دار الأمل الجامعي,33.983878,36.161145,,,,844253921,Polygon
CCCL,33.898956,35.484801,,,,9213700291,Point
الرسول الأعظم للقلب,33.843843,35.498947,,,,483236077,Polygon
مستشفى الحايك,33.870533,35.537979,,,,409961805,Polygon
مستشفى الناصرة,33.778251,35.907691,,,,1043115528,Polygon
Deir El Qamar Governmental Hospital,33.705129,35.57417,,,,1136344912,Polygon
El Hajj Hospital,33.98896,35.715161,,,,1041715172,Polygon
مستشفى النبطية الحكومي,33.3896,35.482849,,,,1053701650,Polygon
Islamic Hospital,34.442374,35.832394,,,,1052244722,Polygon
