syndicate_id,name,beds,location,address,established,type_of_care,moph_accredited
40,Hotel Dieu de France,430,Beirut,Hotel Dieu de France - Bvd. Alfred Naccache - Achrafieh - Beirut - Lebanon,1/1/1923,Long Term Care,yes
41,Clinique Dr. Rizk,160,Beirut,Rue Zahar - Achrafieh - Beyrouth - Liban,1925,Short Term Care,yes
43,Makassed,200,Beirut,Tarik El Jadida,1/1/1930,Short Term Care,Yes
44,Al-Rassoul Al-Aazam hospital,240,Beirut,Bourj Al-Barajneh - Airport Road - Beirut,1/1/1988,Short Term Care,Yes
54,Dar Al-Ajaza Al-Islamia Hospital,700,Beirut,Tarik Al-Jadida - East of Sport City,30/04/1954,Long & Short Term Care,yes
56,Child & Mother Welfare Hospital,19,Beirut,Tallet El Khayyat - Corniche Television - Hassan Kamel Sabbah Street,1/1/1951,Short Term Care,no
59,Fouad Khoury Hospital,26,Beirut,Al Aziz Street - Maktabi BLDG. - Beirut - Lebanon,1/1/1960,Short Term Care,yes
65,Bekhaazi,13,Beirut,Clemenceau Strt,1/1/1961,Short Term Care,no
67,Bahman hospital,200,Beirut,Haret Hreik - Dakkash Street,1/3/1999,All forms of health care,yes
71,Najjar Hospital,53,Beirut,"Ma'amari Street- Ras Beirut, Lebanon Str. P.O.Box: 113-5984",10/15/1982,Short Term Care,Yes
62,Foyer Saint Georges,70,Beirut,Ashrafieh,1/1/1874,Long Term Care,no
81,Al Zahraa University Hospital,200,Beirut,Jnah,1/1/1976,Short Term Care,yes
96,Beirut,40,Beirut,Ramlet El-Bayda,1/1/1974,Short Term Care,yes
115,Haddad hospital for the Rosary Sisters,50,Beirut,Gemmayzeh - Abou Rouss Street,1/1/1970,Short Term Care,yes
116,St Antoine (Souhaid),23,Beirut,Achrafieh,-,Short Term Care,Yes
118,Saint George Hospital University Medical Center,210,Beirut,Rmeil - Youssef Sursok Street P.O.Box: 166378 Achrafieh Beirut 11002807 - Lebanon,1/1/1878,Short Term Care,Yes
123,Khalidy Hospital,16,Beirut,Hamra - Khalidy Station - Ras Beirut - Beirut - Lebanon P.O.Box: 113-5095,-,Short Term Care,No
126,Sahel General Hospital,152,Beirut,Airport Ave. PO box 99/25 Ghobeiry - Beirut - Lebanon,April 13th 1983,Short Term Care,yes
127,Trad Hospital & Medical Center,63,Beirut,"53, rue du Mexique, Clemenceau",1940,Short Term Care,yes
128,Womens,14,Beirut,Mohamad Hout,-,Short Term Care,No
129,Dar El Sahel,32,Beirut,Aramoun Kobeh,-,Long Term Care,yes
130,Hopital Libanais,150,Beirut,Geitawi Street - Ashrafieh,-1927,Short and Long Term Care,yes
112,Hopital Dr. Adnan Haidar,12,Beirut,Beirut - Noueiry Station - Lebanon,1/1/1956,Short Term Care,No
207,Bourj hospital,24,Beirut,Bourj El Barajneh - Osman Street,4/29/2001,Short Term Care,yes
208,American University of Beirut Medical Center,400,Beirut,P.O.Box: 11-236 Riad El Solh 1107 2020 Lebanon,1902,Short Term Care,yes
216,Clemenceau Medical Center affiliated with Johns Hopkins International - CMC,106,Beirut,,2005,short term care,no
233,Beirut Eye Specialty Hospital,20,Beirut,"Achrafieh, Rue Hôtel Dieu",-,Short Term Care,yes
